#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 18 50 319  1.6  2.8  1.11  7.69  6.49 114 1015.9  17.7  20.9  17.2 99.0 99.00
2017 01 03 19 50 344  2.1  2.9  1.06  7.69  6.47 114 1015.3  17.8  21.1  16.7 99.0 99.00
2017 01 03 20 50 320  1.3  1.8  1.03  7.69  6.51 121 1014.7  18.2  21.2  16.7 99.0 99.00
2017 01 03 21 50   1  1.6  2.2  1.13  8.33  6.64 116 1014.5  18.7  21.2  16.9 99.0 99.00
2017 01 03 22 50 357  1.3  1.9  1.08  7.69  6.67 127 1014.5  19.1  21.0  17.0 99.0 99.00
2017 01 03 23 50  62  1.3  1.7  1.08  7.69  6.82 136 1014.3  19.5  20.7  17.1 99.0 99.00
2017 01 04 00 50  50  2.5  3.1  1.08  7.69  6.64 133 1015.1  20.3  20.2  17.4 99.0 99.00
2017 01 04 01 50  79  2.2  2.6  1.00  7.69  6.52 129 1015.6  20.6  19.9  18.9 99.0 99.00
2017 01 04 02 50 183  1.5  1.9  0.95  7.14  6.35 126 1015.5  20.5  19.8  19.1 99.0 99.00
2017 01 04 03 50 204  1.7  2.0  1.03  7.69  6.53 108 1015.8  20.4  19.7  18.8 99.0 99.00
2017 01 04 04 50 247  1.1  1.3  0.96  7.14  6.44 120 1016.3  19.5  19.5  18.4 99.0 99.00
2017 01 04 05 50 342  1.5  1.7  0.92  7.69  6.36 127 1016.1  19.3  19.4  18.2 99.0 99.00
2017 01 04 06 50 357  3.5  4.2  1.01  7.14  6.43 123 1016.0  19.7  19.4  18.1 99.0 99.00
2017 01 04 07 50  23  6.7  8.1  0.83  7.69  6.18 124 1016.0  20.5  19.3  16.3 99.0 99.00
2017 01 04 08 50  27 10.2 12.3  0.96  7.14  4.85 141 1016.0  19.0  19.7  15.3 99.0 99.00
2017 01 04 09 50  27 10.8 12.3  1.25  7.14  4.40 143 1016.0  17.7  20.3  14.3 99.0 99.00
2017 01 04 10 50  33 10.8 12.6  1.79  5.56  4.74  36 1016.4  16.8  20.8  13.4 99.0 99.00
2017 01 04 11 50  20  9.8 12.1  1.91  5.88  5.07  32 1017.3  16.3  21.0  13.1 99.0 99.00
2017 01 04 12 50  24  9.7 12.2  2.02  7.14  5.24  28 1017.5  15.8  21.0  12.5 99.0 99.00
2017 01 04 13 50  24  9.0 10.7  1.85  7.14  5.19  43 1018.2  15.6  21.1  12.6 99.0 99.00
2017 01 04 14 50  36  7.8  9.6  2.03  7.14  5.49  41 1019.1  16.0  21.2  12.6 99.0 99.00
2017 01 04 15 50  34  8.2  9.7  1.87  6.67  5.39  42 1019.7  15.9  21.3  12.4 99.0 99.00
2017 01 04 16 50  35  6.9  8.7  1.84  6.25  5.43  38 1019.9  16.2  21.6  12.6 99.0 99.00
2017 01 04 17 50  40  6.1  7.5  1.84  7.14  5.50  46 1019.0  16.4  21.8  12.4 99.0 99.00
2017 01 04 18 50  31  6.1  7.9  1.66  6.25  5.30  50 1018.0  16.4  22.0  12.6 99.0 99.00
2017 01 04 19 50  38  6.0  7.5  1.57  6.67  5.31  46 1016.5  16.5  22.2  12.5 99.0 99.00
2017 01 04 20 50  48  5.6  7.4  1.50  6.67  5.29  52 1015.6  16.9  22.5  12.8 99.0 99.00
2017 01 04 21 50  33  6.9  8.6  1.42  7.14  5.12  58 1015.3  17.1  22.6  13.4 99.0 99.00
2017 01 04 22 50  56  4.8  6.6  1.44  6.67  5.22  57 1014.7  17.5  22.7  13.6 99.0 99.00
2017 01 04 23 50  41  6.5  7.7  1.38  6.25  5.16  62 1014.9  18.0  22.7  14.1 99.0 99.00
2017 01 05 00 50  66  6.2  7.3  1.36  6.67  5.10  62 1014.6  18.3  22.7  14.2 99.0 99.00
2017 01 05 01 50  83  4.6  6.3  1.26  7.14  5.01  66 1015.0  18.7  22.8  14.3 99.0 99.00
2017 01 05 02 50  80  4.7  5.8  1.14  6.25  4.95  68 1015.4  19.0  22.8  14.5 99.0 99.00
2017 01 05 03 50 105  3.8  5.1  1.07  6.67  4.87  72 1015.3  19.3  22.9  14.6 99.0 99.00
2017 01 05 04 50 109  3.3  4.5  1.07  6.67  4.87  75 1015.1  19.6  23.1  15.0 99.0 99.00
2017 01 05 05 50 128  3.7  4.9  1.02  5.88  4.92  57 1014.2  19.9  23.2  15.3 99.0 99.00
2017 01 05 06 50 133  4.7  6.2  1.00  5.88  4.77  74 1013.0  20.2  23.2  15.9 99.0 99.00
2017 01 05 07 50 158  6.6  7.9  0.98  5.88  4.83  50 1011.7  20.7  23.3  16.4 99.0 99.00
2017 01 05 08 50 158  7.1  8.1  0.98  6.25  4.63  73 1011.0  21.0  22.7  16.9 99.0 99.00
2017 01 05 09 50 167  5.7  6.8  0.82  6.67  4.35  99 1010.8  21.4  22.4  17.5 99.0 99.00
2017 01 05 10 50 184  4.2  5.1  0.77  5.56  4.22  56 1010.9  21.5  22.2  18.1 99.0 99.00
2017 01 05 11 50 199  4.8  5.5  0.71  5.56  4.31  64 1010.4  21.0  22.5  18.7 99.0 99.00
2017 01 05 12 50 262  2.7  3.4  0.69  5.56  4.34  62 1010.9  20.4  22.4  18.4 99.0 99.00
2017 01 05 13 50 306  2.4  3.2  0.69  5.56  4.28  67 1011.2  20.0  22.2  18.2 99.0 99.00
2017 01 05 14 50 338  1.8  2.4  0.66  5.00  4.34  88 1011.4  20.4  22.1  18.1 99.0 99.00
2017 01 05 15 50  21  1.1  1.8  0.70  4.35  4.32 121 1011.9  20.7  22.0  18.4 99.0 99.00
2017 01 05 16 50 183  0.2  0.5  0.68  4.35  4.24 153 1011.4  22.5  22.1  19.1 99.0 99.00
2017 01 05 17 50 197  1.3  1.8  0.74  4.00  4.13 125 1010.7  22.7  22.4  19.9 99.0 99.00
2017 01 05 18 50 205  3.8  4.8  0.79  4.55  4.28 131 1009.2  22.3  22.8  20.2 99.0 99.00
2017 01 05 19 50 248  2.1  2.9  0.73  4.55  4.27 134 1008.1  21.6  22.6  19.9 99.0 99.00
2017 01 05 20 50 247  1.7  2.1  0.70  4.76  4.28 124 1007.6  21.6  22.9  19.2 99.0 99.00
2017 01 05 21 50 338  1.8  2.3  0.71  4.76  4.30 120 1007.5  21.6  23.0  19.6 99.0 99.00
2017 01 05 22 50  13  4.2  5.2  0.64  4.55  4.21 125 1007.8  21.7  22.9  19.9 99.0 99.00
2017 01 05 23 50  24  4.1  5.0  0.68  4.55  4.19 126 1008.2  21.8  22.7  20.2 99.0 99.00
2017 01 06 00 50  58  4.4  5.2  0.65  5.00  4.22 141 1008.3  22.2  22.3  20.4 99.0 99.00
2017 01 06 01 50  72  5.0  6.1  0.61  4.55  4.26 130 1008.9  22.4  22.2  20.7 99.0 99.00
2017 01 06 02 50  66  5.7  6.5  0.71  4.76  3.93 158 1009.6  22.7  22.2  20.8 99.0 99.00
2017 01 06 03 50  65  8.0  9.0  0.81  4.35  4.03  35 1009.3  22.3  22.2  20.7 99.0 99.00
2017 01 06 04 50  57  9.5 11.5  1.10  5.00  4.20  47 1009.3  21.8  22.4  20.1 99.0 99.00
2017 01 06 05 50  51  9.5 11.4  1.36  5.56  4.44  36 1009.5  21.4  23.3  19.8 99.0 99.00
2017 01 06 06 50  43  9.7 13.4  1.77  5.88  4.90  32 1009.6  21.2  23.5  19.5 99.0 99.00
2017 01 06 07 50  34 12.1 14.4  2.01  6.67  5.17  40 1009.2  19.9  23.5  18.2 99.0 99.00
