"","x"
"337",2017-08-31 09:30:00
"338",2017-08-31 10:00:00
"339",2017-08-31 10:30:00
"340",2017-08-31 11:00:00
"341",2017-08-31 11:30:00
"342",2017-08-31 12:00:00
"343",2017-08-31 12:30:00
"344",2017-08-31 13:00:00
"345",2017-08-31 13:30:00
"346",2017-08-31 14:00:00
"347",2017-08-31 14:30:00
"348",2017-08-31 15:00:00
"349",2017-08-31 15:30:00
"350",2017-08-31 16:00:00
"351",2017-08-31 16:30:00
"352",2017-08-31 17:00:00
"353",2017-08-31 17:30:00
"354",2017-08-31 18:00:00
"355",2017-08-31 18:30:00
"356",2017-08-31 19:00:00
"357",2017-08-31 19:30:00
"358",2017-08-31 20:00:00
"359",2017-08-31 20:30:00
"360",2017-08-31 21:00:00
"361",2017-08-31 21:30:00
"362",2017-08-31 22:00:00
"363",2017-08-31 22:30:00
"364",2017-08-31 23:00:00
"365",2017-08-31 23:30:00
"366",2017-09-01 00:00:00
"367",2017-09-01 00:30:00
"368",2017-09-01 01:00:00
"369",2017-09-01 01:30:00
"370",2017-09-01 02:00:00
"371",2017-09-01 02:30:00
"372",2017-09-01 03:00:00
"373",2017-09-01 03:30:00
"374",2017-09-01 04:00:00
"375",2017-09-01 04:30:00
"376",2017-09-01 05:00:00
"377",2017-09-01 05:30:00
"378",2017-09-01 06:00:00
"379",2017-09-01 06:30:00
"380",2017-09-01 07:00:00
"381",2017-09-01 07:30:00
"382",2017-09-01 08:00:00
"383",2017-09-01 08:30:00
"384",2017-09-01 09:00:00
"385",2017-09-01 09:30:00
"386",2017-09-01 10:00:00
"387",2017-09-01 10:30:00
"388",2017-09-01 11:00:00
"389",2017-09-01 11:30:00
"390",2017-09-01 12:00:00
"391",2017-09-01 12:30:00
"392",2017-09-01 13:00:00
"393",2017-09-01 13:30:00
"394",2017-09-01 14:00:00
"395",2017-09-01 14:30:00
"396",2017-09-01 15:00:00
"397",2017-09-01 15:30:00
"398",2017-09-01 16:00:00
"399",2017-09-01 16:30:00
"400",2017-09-01 17:00:00
"401",2017-09-01 17:30:00
"402",2017-09-01 18:00:00
"403",2017-09-01 18:30:00
"404",2017-09-01 19:00:00
"405",2017-09-01 19:30:00
"406",2017-09-01 20:00:00
"407",2017-09-01 20:30:00
"408",2017-09-01 21:00:00
"409",2017-09-01 21:30:00
"410",2017-09-01 22:00:00
"411",2017-09-01 22:30:00
"412",2017-09-01 23:00:00
"413",2017-09-01 23:30:00
"414",2017-09-02 00:00:00
"415",2017-09-02 00:30:00
"416",2017-09-02 01:00:00
"417",2017-09-02 01:30:00
"418",2017-09-02 02:00:00
"419",2017-09-02 02:30:00
"420",2017-09-02 03:00:00
"421",2017-09-02 03:30:00
"422",2017-09-02 04:00:00
"423",2017-09-02 04:30:00
"424",2017-09-02 05:00:00
"425",2017-09-02 05:30:00
"426",2017-09-02 06:00:00
"427",2017-09-02 06:30:00
"428",2017-09-02 07:00:00
"429",2017-09-02 07:30:00
"430",2017-09-02 08:00:00
"431",2017-09-02 08:30:00
"432",2017-09-02 09:00:00
"433",2017-09-02 09:30:00
"434",2017-09-02 10:00:00
"435",2017-09-02 10:30:00
"436",2017-09-02 11:00:00
"437",2017-09-02 11:30:00
"438",2017-09-02 12:00:00
"439",2017-09-02 12:30:00
"440",2017-09-02 13:00:00
"441",2017-09-02 13:30:00
"442",2017-09-02 14:00:00
"443",2017-09-02 14:30:00
"444",2017-09-02 15:00:00
"445",2017-09-02 15:30:00
"446",2017-09-02 16:00:00
"447",2017-09-02 16:30:00
"448",2017-09-02 17:00:00
"449",2017-09-02 17:30:00
"450",2017-09-02 18:00:00
"451",2017-09-02 18:30:00
"452",2017-09-02 19:00:00
"453",2017-09-02 19:30:00
"454",2017-09-02 20:00:00
"455",2017-09-02 20:30:00
"456",2017-09-02 21:00:00
"457",2017-09-02 21:30:00
"458",2017-09-02 22:00:00
"459",2017-09-02 22:30:00
"460",2017-09-02 23:00:00
"461",2017-09-02 23:30:00
"462",2017-09-03 00:00:00
"463",2017-09-03 00:30:00
"464",2017-09-03 01:00:00
"465",2017-09-03 01:30:00
"466",2017-09-03 02:00:00
"467",2017-09-03 02:30:00
"468",2017-09-03 03:00:00
"469",2017-09-03 03:30:00
"470",2017-09-03 04:00:00
"471",2017-09-03 04:30:00
"472",2017-09-03 05:00:00
"473",2017-09-03 05:30:00
"474",2017-09-03 06:00:00
"475",2017-09-03 06:30:00
"476",2017-09-03 07:00:00
"477",2017-09-03 07:30:00
"478",2017-09-03 08:00:00
"479",2017-09-03 08:30:00
"480",2017-09-03 09:00:00
